ProductID,ProductName,ProductNumber,CategoryID,CategoryName
1,HL Mountain Handlebars,HB-M918,15,Handlebars
2,HL Road Handlebars,HB-R956,15,Handlebars
3,HL Touring Handlebars,HB-T928,15,Handlebars
4,LL Mountain Handlebars,HB-M243,15,Handlebars
5,LL Road Handlebars,HB-R504,15,Handlebars
6,LL Touring Handlebars,HB-T721,15,Handlebars
7,ML Mountain Handlebars,HB-M763,15,Handlebars
8,"Mountain-100 Black, 38",BK-M82B-38,22,Mountain Bikes
9,"Mountain-100 Black, 42",BK-M82B-42,22,Mountain Bikes
10,"Mountain-100 Black, 44",BK-M82B-44,22,Mountain Bikes
11,"Mountain-100 Black, 48",BK-M82B-48,22,Mountain Bikes
12,"Mountain-100 Silver, 38",BK-M82S-38,22,Mountain Bikes
13,"Mountain-100 Silver, 42",BK-M82S-42,22,Mountain Bikes
14,"Mountain-100 Silver, 44",BK-M82S-44,22,Mountain Bikes
15,"Mountain-100 Silver, 48",BK-M82S-48,22,Mountain Bikes
16,"Mountain-200 Black, 38",BK-M68B-38,22,Mountain Bikes
17,"Mountain-200 Black, 42",BK-M68B-42,22,Mountain Bikes
18,"Mountain-200 Black, 46",BK-M68B-46,22,Mountain Bikes
19,"Mountain-200 Silver, 38",BK-M68S-38,22,Mountain Bikes
20,"Mountain-200 Silver, 42",BK-M68S-42,22,Mountain Bikes
21,"Mountain-200 Silver, 46",BK-M68S-46,22,Mountain Bikes
22,"Mountain-300 Black, 38",BK-M47B-38,22,Mountain Bikes
23,"Mountain-300 Black, 40",BK-M47B-40,22,Mountain Bikes
24,"Mountain-300 Black, 44",BK-M47B-44,22,Mountain Bikes
25,"Mountain-300 Black, 48",BK-M47B-48,22,Mountain Bikes
26,"Mountain-400-W Silver, 38",BK-M38S-38,22,Mountain Bikes
27,"Mountain-400-W Silver, 40",BK-M38S-40,22,Mountain Bikes
28,"Mountain-400-W Silver, 42",BK-M38S-42,22,Mountain Bikes
29,"Mountain-400-W Silver, 46",BK-M38S-46,22,Mountain Bikes
30,"Mountain-500 Black, 40",BK-M18B-40,22,Mountain Bikes
31,"Mountain-500 Black, 42",BK-M18B-42,22,Mountain Bikes
32,"Mountain-500 Black, 44",BK-M18B-44,22,Mountain Bikes
33,"Mountain-500 Black, 48",BK-M18B-48,22,Mountain Bikes
34,"Mountain-500 Black, 52",BK-M18B-52,22,Mountain Bikes
35,"Mountain-500 Silver, 40",BK-M18S-40,22,Mountain Bikes
36,"Mountain-500 Silver, 42",BK-M18S-42,22,Mountain Bikes
37,"Mountain-500 Silver, 44",BK-M18S-44,22,Mountain Bikes
38,"Mountain-500 Silver, 48",BK-M18S-48,22,Mountain Bikes
39,"Mountain-500 Silver, 52",BK-M18S-52,22,Mountain Bikes
40,"Road-150 Red, 44",BK-R93R-44,27,Road Bikes
41,"Road-150 Red, 48",BK-R93R-48,27,Road Bikes
42,"Road-150 Red, 52",BK-R93R-52,27,Road Bikes
43,"Road-150 Red, 56",BK-R93R-56,27,Road Bikes
44,"Road-150 Red, 62",BK-R93R-62,27,Road Bikes
45,"Road-250 Black, 44",BK-R89B-44,27,Road Bikes
46,"Road-250 Black, 48",BK-R89B-48,27,Road Bikes
47,"Road-250 Black, 52",BK-R89B-52,27,Road Bikes
48,"Road-250 Black, 58",BK-R89B-58,27,Road Bikes
49,"Road-250 Red, 44",BK-R89R-44,27,Road Bikes
50,"Road-250 Red, 48",BK-R89R-48,27,Road Bikes
51,"Road-250 Red, 52",BK-R89R-52,27,Road Bikes
52,"Road-250 Red, 58",BK-R89R-58,27,Road Bikes
53,"Road-350-W Yellow, 40",BK-R79Y-40,27,Road Bikes
54,"Road-350-W Yellow, 42",BK-R79Y-42,27,Road Bikes
55,"Road-350-W Yellow, 44",BK-R79Y-44,27,Road Bikes
56,"Road-350-W Yellow, 48",BK-R79Y-48,27,Road Bikes
57,"Road-450 Red, 44",BK-R68R-44,27,Road Bikes
58,"Road-450 Red, 48",BK-R68R-48,27,Road Bikes
59,"Road-450 Red, 52",BK-R68R-52,27,Road Bikes
60,"Road-450 Red, 58",BK-R68R-58,27,Road Bikes
